NumberOfClients,NumberOfVehicles,VehicleCapacity,ClientDemand
21-4-6000-[1100,700,800,1400,2100,400,800,100,500,600,1200,1300,1300,500,900,2100,1000,900,2500,1800,700]

DistanceMatrix:
0,0,0.00
0,1,49.04
0,2,46.52
0,3,41.01
0,4,39.05
0,5,32.02
0,6,31.00
0,7,27.02
0,8,24.04
0,9,21.02
0,10,17.00
0,11,16.03
0,12,11.00
0,13,16.03
0,14,7.07
0,15,19.03
0,16,9.06
0,17,22.02
0,18,19.03
0,19,26.02
0,20,30.02
0,21,33.02
1,0,49.04
1,1,0.00
1,2,8.06
1,3,21.02
1,4,23.02
1,5,17.03
1,6,18.03
1,7,22.02
1,8,25.02
1,9,28.02
1,10,32.02
1,11,33.02
1,12,47.01
1,13,50.00
1,14,56.01
1,15,56.01
1,16,58.01
1,17,71.01
1,18,71.01
1,19,75.01
1,20,79.01
1,21,82.01
2,0,46.52
2,1,8.06
2,2,0.00
2,3,29.02
2,4,31.02
2,5,14.00
2,6,15.00
2,7,19.03
2,8,22.02
2,9,25.02
2,10,29.02
2,11,30.02
2,12,44.00
2,13,47.01
2,14,53.01
2,15,53.01
2,16,55.01
2,17,68.01
2,18,68.01
2,19,72.01
2,20,76.01
2,21,79.01
3,0,41.01
3,1,21.02
3,2,29.02
3,3,0.00
3,4,2.00
3,5,33.02
3,6,16.03
3,7,12.04
3,8,15.03
3,9,18.03
3,10,22.02
3,11,23.02
3,12,37.01
3,13,40.01
3,14,46.01
3,15,46.01
3,16,48.01
3,17,61.01
3,18,61.01
3,19,65.01
3,20,69.01
3,21,72.01
4,0,39.05
4,1,23.02
4,2,31.02
4,3,2.00
4,4,0.00
4,5,35.01
4,6,18.03
4,7,14.00
4,8,17.03
4,9,20.02
4,10,24.02
4,11,25.02
4,12,39.01
4,13,42.01
4,14,48.01
4,15,48.01
4,16,50.00
4,17,63.01
4,18,63.01
4,19,67.01
4,20,71.01
4,21,74.01
5,0,32.02
5,1,17.03
5,2,14.00
5,3,33.02
5,4,35.01
5,5,0.00
5,6,17.03
5,7,5.00
5,8,8.06
5,9,11.00
5,10,15.03
5,11,16.03
5,12,30.02
5,13,33.02
5,14,39.05
5,15,39.05
5,16,41.01
5,17,54.01
5,18,54.01
5,19,58.01
5,20,62.01
5,21,65.01
6,0,31.00
6,1,18.03
6,2,15.00
6,3,16.03
6,4,18.03
6,5,17.03
6,6,0.00
6,7,15.03
6,8,7.07
6,9,10.00
6,10,14.00
6,11,15.03
6,12,29.02
6,13,32.02
6,14,38.01
6,15,38.01
6,16,40.01
6,17,53.01
6,18,53.01
6,19,57.01
6,20,61.01
6,21,64.01
7,0,27.02
7,1,22.02
7,2,19.03
7,3,12.04
7,4,14.00
7,5,5.00
7,6,15.03
7,7,0.00
7,8,19.03
7,9,6.00
7,10,10.00
7,11,11.00
7,12,25.02
7,13,28.02
7,14,34.00
7,15,34.00
7,16,36.01
7,17,49.04
7,18,49.04
7,19,53.01
7,20,57.01
7,21,60.01
8,0,24.04
8,1,25.02
8,2,22.02
8,3,15.03
8,4,17.03
8,5,8.06
8,6,7.07
8,7,19.03
8,8,0.00
8,9,13.00
8,10,7.07
8,11,8.06
8,12,22.02
8,13,25.02
8,14,31.02
8,15,31.02
8,16,33.02
8,17,46.01
8,18,46.01
8,19,50.00
8,20,54.01
8,21,57.01
9,0,21.02
9,1,28.02
9,2,25.02
9,3,18.03
9,4,20.02
9,5,11.00
9,6,10.00
9,7,6.00
9,8,13.00
9,9,0.00
9,10,16.03
9,11,15.03
9,12,19.03
9,13,22.02
9,14,28.02
9,15,28.02
9,16,30.02
9,17,43.01
9,18,43.01
9,19,47.01
9,20,51.01
9,21,54.01
10,0,17.00
10,1,32.02
10,2,29.02
10,3,22.02
10,4,24.02
